名称,纬度,经度
坂田二路路口,22.62314571,114.0611607
坂雪岗大道路口,22.62290333,114.0660533
环城路路口,22.62306467,114.071214
五园小学北,22.61710771,114.0665235
福海西站,22.6925998,113.7846533
德金财富广场,22.68737547,113.7842077
大族激光东,22.68350995,113.7838732
旭竟昌科技工业园,22.67914844,113.7834677
观澜黎光村,22.76348465,114.033365
观澜大富工业区,22.74139172,114.0210131
长圳人行天桥,22.72593518,113.9083333
径贝居委会,22.56936935,113.8690366
地质公园路中,22.53198047,114.5162984
人大附中九年部,22.63840755,114.4013735
坝光新村,22.64017485,114.3972382
国际低碳城,22.78568795,114.2861766
华业玫瑰郡,22.73407117,114.2332921
普联科技园,22.72963814,113.9101363
普联科技二期,22.72831088,113.9140403
展辰涂料,22.73239159,113.9781594
中海九号公馆,22.59879592,113.8958876
华美路中,22.75324908,113.858787
富之庆电子,22.75622385,113.8646121
龙景路口,22.79908035,113.872377
国科大医院西院区①,22.76716353,113.8986008
假日名居,22.55865226,113.8655054
西乡大铲湾码头,22.55258784,113.8552478
嘉康惠宝,22.70585967,113.9539822
新福大厦,22.73816272,113.8245215
赤子香路口,22.67015876,114.2959696
恒裕滨城,22.49772715,113.9360501
公明中心换乘站②,22.78086085,113.8935302
公明街道办,22.78290223,113.8895402
公明邮政①,22.78217624,113.8888586
公明天虹②,22.7838645,113.8883639
公明天虹①,22.78458603,113.8877542
公明汽车站②,22.77888664,113.8897887
公明中心换乘站,22.78077089,113.8935742
公明中英文学校,22.78035862,113.9056473
罗租社区,22.67781597,113.925699
同富裕一路,22.68555631,114.364975
市民中心西,22.54637329,114.0510391
龙悦居二期,22.60569364,114.0237878
致远南路,22.60575354,114.0253155
M283辅城坳总站,22.69922001,114.0911881
818车队和大鹏中巴车队场站,22.59829946,114.4655608
罗湖文锦渡汽车站,22.54220551,114.1244605
坪地六联总站,22.78419563,114.3345169
M385、882丹竹头主站,22.62756035,114.1527129
M385、882平安大道总站,22.62742944,114.1527521
坑梓基地,22.76439007,114.4123863
812汤坑主站1,22.67090802,114.3045116
梅沙380A公交副站,22.60551402,114.3222699
罗山水库,22.71338517,114.1124248
清湖地铁公交接驳站,22.66843265,114.0312622
樟坑径总站,22.68279554,114.0734115
大运地铁公交接驳站,22.68942322,114.2224306
M267平湖总站,22.68636196,114.123411
M269平湖总站,22.68674193,114.1234691
龙西场站2,22.75573814,114.2428193
松岗总站,22.77364043,113.8476056
龙岗佳得宝,22.75023729,114.2776607
牛角龙总站,22.68388564,114.3308059
大鹏中心②,22.59597965,114.4717673
嶂背工业区,22.69341906,114.2508396
南澳洋畴湾,22.51357211,114.4797909
汤坑总站,22.67254864,114.3039523
龙岗区残联,22.71140006,114.197234
怡景地铁站②,22.55714376,114.1363424
宝安机场候机楼,22.64812091,113.815485
前海华侨城酒店,22.55137753,113.8769734
海旺中学,22.55755304,113.8888588
宝安实验学校,22.54868012,113.8956486
新锦安雅园,22.55215169,113.9001204
常富楼,22.55506372,113.9035848
楼岗社区,22.76845286,113.8524245
光明成校,22.76775933,113.9474474
凤凰村,22.73098018,113.9427748
实验学校总站①,22.5519721,114.0851978
进港二路南,22.57123463,114.2544925
嘉长源创意园,22.60151983,114.2382865
周大福大厦,22.56675374,114.2434117
笋岗海关,22.56178935,114.1117566
新洲南村,22.5251132,114.0440471
九祥岭①,22.58640057,113.9497103
香缇湾花园,22.57695792,113.8554718
华厦新邨,22.55828332,113.8949245
宝海花园,22.56088919,113.8975152
海裕社康中心,22.56818026,113.8771897
金港华庭,22.58600231,113.8592366
新发厂,22.6044256,113.8542252
凤凰社区,22.69107572,113.8348331
坪地六联,22.79538535,114.3262976
大运新城充电站,22.70274662,114.1993925
宝华地铁站②,22.55254757,113.8811976
熙龙湾正门,22.5496693,113.8856066
惠科正门,22.69494891,113.9648992
水榭春天中,22.63006426,114.0210313
泥岗村牌坊,22.56865337,114.0947842
太阳雨家园,22.6184241,114.0686293
坪联金碧路口,22.68917604,114.3278171
坪山潮商广场北,22.68584852,114.3316815
华润深圳湾,22.51951408,113.9428921
金地大C区,22.68401644,114.0141827
羊龙新村,22.65549306,114.0039326
西头村,22.64319065,114.0171763
上合市场①,22.58271797,113.8964851
燕罗维稳综治中心,22.81161203,113.8590879
罗田社区,22.79889591,113.8699306
大富科技东,22.74215363,113.7849176
碧头地铁站北,22.78805998,113.8149987
塘坑总站,22.67985319,113.9439364
东涌沙岗村,22.49482683,114.5764519
溪涌社区,22.61077052,114.3526305
石岩塘坑总站,22.68009595,113.9440262
润达圆庭,22.62776701,114.0173309
民治中学南,22.63071082,114.0233452
泉新源工业区,22.67378168,113.9892367
泥岗地铁站,22.57018915,114.0925905
亚洲工业区,22.66949618,114.0581233
九围村总站,22.65609837,113.8626013
长岭东公交场站,22.55551542,114.1844505
华润城公交总站,22.55401241,113.9485273
德信昌科技园,22.6687146,114.0560754
华映显示科技,22.74297721,113.9200439
荔枝世界总站,22.61355236,113.9345614
永安北山路口,22.5975402,114.2462896
洲腾工业园,22.65991819,114.1200734
六约新村东,22.64612336,114.1716588
勒堡工业园,22.76963973,113.9465068
塘新路南,22.69335014,113.8151041
招商局智慧城,22.73988384,113.9411035
新和天桥②,22.67010121,113.8015576
大王山公园,22.71795391,113.8013099
深南北环立交③,22.55538193,113.9058276
深南北环立交②,22.55531499,113.9057046
深南北环立交①,22.55487595,113.9058966
坂田象角塘公交场站,22.65654109,114.0695514
澳佳工业园,22.68639252,114.1286468
平湖火车站,22.69415656,114.1229897
五和风门路口,22.67253703,114.0597566
信德学校,22.6943237,114.115452
复兴隆,22.7659172,114.2884457
中海康城国际南,22.70812206,114.2027175
深南北环立交,22.55316171,113.906795
西湾公园二期,22.59775684,113.8295961
集信雅苑②,22.77236607,113.8441851
莲馨家园,22.56812335,114.177309
罗湖区中医院,22.56884342,114.1763052
红晟市场,22.63730371,114.0955213
求知一路,22.69655519,114.056586
求知三路,22.69673045,114.0589587
官湖总站,22.60639901,114.4178996
曦城五号门,22.59658051,113.9027959
新桥天虹商场②,22.72233646,113.8235719
石介头微巴场站,22.79398538,113.9524683
岸上林居,22.74069642,114.2404775
大光勘村,22.62167549,114.062205
锦绣观园,22.69557746,114.0227792
大鹏新区管委会①,22.64181455,114.4136828
黎光工业区总站,22.75843482,114.0234606
臻鼎科技总站,22.79452015,113.8492683
洋涌工业区总站,22.79245432,113.8207629
洋下四路总站,22.74233742,113.8335594
洪田社区总站,22.7080618,113.8494162
同泰时代中心总站,22.68091108,113.7981926
跨越速运,22.68291963,113.7761113
沙四科技园总站,22.74833221,113.7852389
国威路东,22.56693389,114.1748505
仙桐御景,22.56777294,114.1733143
畔山支路,22.5659276,114.1725062
畔山路,22.56632339,114.1708187
六约麻地新村,22.63848976,114.1869897
鹭湖居委会,22.69559962,114.061079
招商观园,22.69248365,114.0588651
坪东村,22.77121853,114.3115124
长兴科技园,22.72050504,113.9206481
罗湖交警大队,22.54867681,114.123408
深圳中学,22.55690727,114.1158846
工青妇活动中心,22.55222068,114.2316417
新和天桥①,22.66905567,113.8022674
怡亚通,22.65244846,114.1266698
立新湖,22.6883896,113.8114548
水田第四工业区微巴场站,22.69990627,113.9547981
盐田海事局,22.56474992,114.2467239
呈祥花园,22.66373918,114.0754184
平湖火车站候车室,22.69543383,114.1199288
新南大岭,22.68853876,114.1459916
仙湖山庄,22.57174513,114.1683135
互联网产业园北,22.56820922,114.1671145
工业D小区,22.56778021,114.1655022
鹏兴实验学校南,22.56543144,114.1628521
宏发世纪城,22.6825853,113.9420449
领航城,22.61574608,113.8523932
峰荟花园首末站,22.76663038,113.8928425
光明大道换乘站①,22.75621404,113.9317722
青兰二路北,22.72423118,114.3946998
青兰二路南,22.71988438,114.3948131
坑梓公交总站,22.76350445,114.4125255
汤坑社康中心,22.67178461,114.2970611
沙河路,22.5773818,113.9468615
深圳实验学校,22.58870698,113.9390498
渔农村,22.51922405,114.0666728
二十二米大道中,22.57647701,114.2571266
科苑南路口,22.52996014,113.9421405
梧桐山总站,22.59583476,114.1859568
草埔吓屋村,22.58816278,114.1155931
西乡三围码头总站,22.60864174,113.8266375
莲塘总站,22.56671728,114.1707815
德兴花园总站,22.59277809,114.1038538
横岗总站,22.65030667,114.2104552
布吉慢城总站,22.62257452,114.121259
建设路总站,22.54101372,114.1114826
牛栏前总站,22.63867136,114.0346567
南山中心区总站,22.52324211,113.932715
白石龙总站,22.60625891,114.0350022
时尚创意城总站,22.69888396,113.9790933
万国食品城总站,22.65420462,114.12384
大福工业区,22.66283271,114.2302481
水祖坑,22.69707121,114.4263714
洪田火山公园,22.71140107,113.8552938
新安地铁公交接驳站,22.54976619,113.8906001
凤尾总站,22.71078701,113.8152895
沙井乐安居总站,22.64533162,113.818771
庄村横岗下,22.72934168,113.8591473
裕安西公交总站,22.55929043,113.8648651
坪山土地监察局,22.71126351,114.3557215
兰竹荔景路口,22.71348222,114.3633716
兰竹南布路口,22.71058862,114.351888
前海湾花园,22.51329178,113.8815426
育才四小,22.49872491,113.9319004
海月地铁站②,22.50312,113.9318202
海月地铁站,22.50401823,113.932946
湾厦地铁站,22.4979356,113.933369
南岭花园总站,22.60643992,114.1381676
东角头总站,22.48728219,113.9336074
仙湖植物园总站,22.57044114,114.1629551
牛成村总站,22.61866975,113.9231133
宝安机场总站,22.64566417,113.8185664
月亮湾综合车场,22.49598866,113.8715247
向南路,22.51124191,113.9159508
光明圳美总站,22.786913,113.9450759
罗田水厂,22.80142712,113.8656082
固戍地铁公交接驳站,22.60995713,113.8382944
潭头公交总站,22.75255372,113.8479698
潭头西公交总站,22.74770858,113.8394847
田洋六路,22.75868382,113.8724838
新发工业区,22.7285226,113.8521845
泰丰工业园,22.70940164,113.791042
福凤路公交总站,22.68588013,113.8415881
万福广场东,22.67296931,113.8200827
牛角龙居民小组,22.68195032,114.3296358
震雄集团,22.75107472,114.3863098
震雄工业园②,22.75688361,114.3896066
华加日西林,22.73822227,114.3774707
村田厂,22.72804707,114.3789308
皇庭港湾,22.49483519,113.9366087
阳光海滨,22.49344157,113.93639
海怡湾,22.48998839,113.9376228
绿海湾,22.49628412,113.9348905
石洲北路,22.53836268,113.9610213
平湖总站,22.68861364,114.1160333
五区市场总站,22.56722151,113.8948468
龙华新区大道总站,22.62675891,114.0122121
赤湾地铁站总站,22.48175968,113.8933079
潜龙花园总站,22.61641764,114.0353049
港大医院总站,22.52827139,113.9890375
青湖山庄总站,22.59065728,114.1012088
深业花园公交总站,22.54965297,114.0608877
盐田区福利中心,22.55540303,114.2148034
新平村总站,22.59868105,114.1678566
清水河酒店用品城,22.58301931,114.1076192
溪头,22.77463001,113.8312392
松岗新汽车站,22.77346084,113.8472146
清湖地铁接驳站,22.66820917,114.0318741
东周总站,22.76632768,113.9337705
光明交警大队,22.73784009,113.9018125
光明光晟厂总站,22.78290487,113.94579
上村总站,22.79155564,113.8876817
石岩黄峰岭总站,22.67168278,113.9330503
园岭村总站,22.69649169,113.9373281
油麻岗总站,22.74264093,113.8867647
西田第三工业区,22.81107512,113.9020369
长圳恒泰裕工业园,22.72236195,113.9284242
坪山二小,22.69148464,114.3713189
罗芳新秀路口,22.54959949,114.1426872
田贝总站,22.56240154,114.1224081
汇鑫花园,22.54509956,114.1308006
深圳中学泥岗校区北,22.57017431,114.090263
金湖大厦,22.57091972,114.0875865
市卫生监督局,22.56133938,114.1212911
老屋村,22.69506768,114.3837797
富士锦园,22.76015052,114.4003421
坪山实验学校,22.70766937,114.338499
渔民村总站,22.53632154,114.1079477
海吉星农贸市场,22.64714592,114.1550028
石岩湖总站,22.71144186,113.9042252
金色半山,22.6344053,114.0809824
松湖公寓场站,22.48058281,113.8995596
麻磡总站,22.63765109,113.9486458
大田洋公交总站,22.75026733,113.8627496
文锦渡客运站总站,22.54206224,114.1242341
潭头西综合场站,22.74625603,113.8345238
881良安田主站,22.66529401,114.144763
南头停车场,22.55438162,113.9067849
松岗塘下涌综合场站,22.81055725,113.8437275
石岩湖度假村,22.70679517,113.8987968
长圳锐丰检测站停车场,22.7170111,113.9049731
海语西湾,22.55882162,113.8626095
下石家路口,22.76928485,113.8953944
光明峰荟,22.76861756,113.8919285
伟林雅苑,22.76820454,113.8702692
伍屋村,22.65720085,114.0388689
长圳锐丰检测站停车位2,22.71664525,113.9048241
根竹园调度点,22.76918182,113.8689567
光明东周总站,22.76677346,113.9325687
楼村场站1,22.78316541,113.934233
南头场站,22.5526457,113.9042893
黄蜂岭场站,22.6716747,113.9330993
836等线海吉星副站,22.64804059,114.154372
M272慢城主站,22.6236402,114.1220294
839车队坪地主站,22.80455564,114.332901
松岗燕罗公交总站,22.77374295,113.854912
M224、M268等线甘坑总站,22.65715699,114.103365
深圳北站交通枢纽公交场站,22.61478946,114.0237184
布吉加洲花园总站,22.59550193,114.131094
民治地铁公交接驳站,22.62021161,114.0358996
红山地铁公交接驳站,22.62490573,114.020459
坪地街道办富坪中路20号坪地汽车站,22.77728991,114.310775
龙悦居三期,22.60417345,114.028485
龙悦居四期,22.6068595,114.0256438
梅林联检站（入关）⑥,22.59682087,114.045021
梅林联检站（入关）⑦,22.59674289,114.045016
梅林联检站（关内）01,22.59768114,114.0458098
梅林联检站（关内）02,22.59760119,114.0457898
梅林联检站（关内）03,22.59754422,114.0457768
梅林联检站（关内）04,22.59751519,114.0457948
梅林联检站（关内）05,22.59743628,114.0457549
梅林联检站（关内）06,22.59738426,114.0457669
梅林联检站（关内）07,22.59730932,114.0457429
梅林联检站（关内）08,22.59723834,114.0457379
梅林联检站（关内）09,22.59717235,114.0457389
梅林联检站（关内）10,22.59711636,114.0457379
梅林联检站（关内）11,22.59705937,114.0457379
梅林联检站（关外）20,22.5989982,114.0452006
民乐地铁站③,22.59878936,114.0451367
民乐地铁站④,22.59870399,114.04631
梅林联检站（关外）13,22.59891741,114.045594
梅林联检站（关外）14,22.5987068,114.0454163
梅林联检站（关外）15,22.5989597,114.0454462
梅林联检站（关外）16,22.59894397,114.0453154
梅林联检站（关外）17,22.59905507,114.0452585
梅林联检站（关外）18,22.59901025,114.0451776
梅林联检站（关外）19,22.5990474,114.0450987
民乐地铁站②,22.59788219,114.0457698
民乐地铁站①,22.5978962,114.0457628
浪静路中,22.70164412,113.9808348
浪腾路口,22.7033778,113.9797753
龙华法院,22.70098276,113.9793196
龙华检察院,22.70021063,113.9811242
浪宁路中,22.7023142,113.9817645
浪宁路口,22.70326592,113.9821096
石凹路西,22.70250989,113.983194
石凹路中,22.70100525,113.9855432
机场新航站楼,22.62736448,113.8093853
风华大剧院西,22.49989746,113.9188107
南航基地,22.63995858,113.8219208
深航基地,22.63525132,113.8245
保税物流中心,22.62963418,113.8276088
铁岗水库,22.60470608,113.919231
新安中粮锦云总站,22.58638562,113.8834625
横岭,22.61014959,114.0405202
华瀚科技总站,22.56230717,113.9377351
樟坑村总站,22.6184698,114.0326308
大浪宝龙新村总站,22.6784039,114.0148285
石岩影剧院北,22.68387462,113.9332673
坑尾村路口,22.69687515,113.9328189
邮政物流中心,22.62467573,113.8285115
顺丰物流基地,22.62093514,113.8289299
国内货运村,22.6445857,113.8192704
大万世居,22.68258286,114.3372934
福民路口南,22.69361113,114.374358
田心社康中心,22.69582818,114.4156888
百鸽笼总站,22.59569609,114.1312263
吉华坂雪岗路口,22.63865521,114.0602944
深圳东站西广场,22.6040687,114.1133384
大草埔总站,22.70675347,114.1247885
宝鼎威货运,22.63243875,114.1388315
日塑,22.63208296,114.1336875
平湖商会,22.70460601,114.1308895
布吉阳光花园,22.61918388,114.1086043
开田科技园,22.67451803,114.1361484
横岗商业街,22.64843024,114.2029829
宝安客运中心总站,22.59351021,113.8782146
大浪小镇公共平台南,22.70391285,113.9864228
浪奔路中,22.69923085,113.9834884
大浪时尚小镇北,22.70503401,113.9812506
大浪时尚小镇西,22.70360366,113.977414
浪花浪腾路口,22.69932406,113.9786802
浪花路中,22.69853736,113.9810226
梵思诺大厦,22.69744955,113.9860751
振新学校,22.73775967,114.2656249
宝路工业区,22.68498858,113.9221266
彩煌公司①,22.6744863,114.0525519
新城联检站Ⅲ1,22.55074001,113.8973207
创景路口,22.71221023,114.3908506
华联大厦,22.54335864,114.0894703
东坑村路口,22.73313688,114.3624811
永盛泰工业园,22.76008024,114.3584603
南源新村,22.62617856,114.0241028
水榭春天,22.62883398,114.023038
民顺小学,22.63140993,114.0214274
民塘人民路口,22.6351498,114.0165942
隔圳新村西,22.63874952,114.0116157
简上路口北,22.64093866,114.0100654
和平里花园二期,22.64429291,114.0077369
象山大道燕罗路口,22.80046652,113.8741139
民乐地铁站⑤,22.59667968,114.0451219
南科大附属中学,22.69910337,113.8078417
万乐锦程路口,22.72875518,113.7799895
雅达电子,22.70629143,113.7910232
机场东地铁站西,22.64915938,113.8169118
怀德建材街,22.66963318,113.813747
名人假期,22.67967323,113.8166
环观南路路口,22.69053856,114.0627531
华润三九,22.68827574,114.0538804
日海通讯正门,22.68834644,114.0655883
瀚宇药业集团,22.70256992,113.7851266
和泰工业区,22.69428205,113.7844096
机场东地铁口,22.64995303,113.816276
科陆工业园,22.68640924,114.2821924
同乐汽车站,22.72339085,114.2937927
锦龙名苑,22.7159547,114.2644825
兴泰实验学校,22.73359789,114.2453064
银湖汽车站②,22.57147383,114.0839421
龙悦居总站,22.60434952,114.0250233
宝安区青少年宫,22.54932152,113.8767732
宝安图书馆①,22.55276994,113.8776113
聚龙山南路,22.74485509,114.3955878
深业东城御园,22.74064556,114.3937174
坪山外国语学校,22.73271636,114.3794183
西田公园,22.80690015,113.8979009
城德轩科技园,22.81031259,113.8844486
屋园路口,22.81046446,113.8924994
宝安图书馆西,22.55209931,113.876767
新彩隧道口,22.59539172,114.0442173
雪岗路口北,22.66884948,114.0561323
金光道人行天桥,22.67325504,114.0596387
科技园公交总站,22.53900144,113.9471365
香梅北总站,22.56096175,114.0604024
黄埔雅苑公交总站,22.54573755,114.0467448
九州家园二期,22.72909462,114.2566008
深圳实验光明部,22.75183555,113.9329483
光明信访局,22.75272499,113.9318543
不动产布吉登记所,22.60996161,114.121344
火车站,22.53511024,114.1141732
蛇口沃尔玛①,22.50560517,113.9180076
科技北三路,22.56056209,113.9373037
草埔大修厂,22.58820131,114.1150762
大梅沙公交总站,22.60590251,114.2984686
上梅林公交总站,22.57115259,114.0536104
西乡后瑞总站,22.63893768,113.8325133
世界之窗地铁公交接驳站,22.53985782,113.9698951
购物公园地铁公交接驳站,22.53749882,114.0483991
农科中心公交总站,22.54306571,114.0150228
西乡后瑞场站,22.63915502,113.8327138
科学馆地铁公交接驳站,22.54276747,114.0911643
111,22.55335845,114.0326999
西乡恒生医院,22.57811966,113.8471539
沙头角公交总站,22.56050603,114.2408482
福中福总站,22.5664338,113.8701167
水库总站,22.56950747,114.138174
购物公园总站,22.53801087,114.0478428
蛇口总站,22.48069093,113.8981477
三岛中心总站,22.54017098,114.111755
桃花源松岗分园总站,22.74614364,113.8576549
下石家总站,22.77026423,113.8929213
李松蓢公交总站,22.81034844,113.882449
深圳北汽车站,22.61061731,114.0210785
坪山新区碧岭村公交总站,22.66776223,114.2978295
南山中心区公交总站,22.52350889,113.9328479
新安67区安顺达场站,22.57833749,113.9147018
清水河总站,22.58225841,114.1015307
东昌总站,22.5790179,114.131065
南头总站,22.54573013,113.9090789
香蜜湖总站,22.54261547,114.0233469
世界之窗总站,22.54051959,113.972104
桃源村总站,22.56311699,113.9752213
银湖总站,22.57219677,114.0839061
宁水花园总站,22.56505402,114.1395105
北斗总站,22.54351098,114.1303016
鹿丹村总站,22.53766863,114.0995065
草埔总站,22.58530394,114.1118102
布心总站,22.57570901,114.1382898
动物园总站,22.59840891,113.9605994
牛山光源五路口,22.74755192,113.9376554
新城公园西门,22.74852453,113.9342042
研祥西门,22.76182557,113.9198927
新安72区安利达场站,22.58903752,113.9178464
固戍村总站,22.59769632,113.8357826
福田交通枢纽公交场站,22.53507545,114.006078
东方尊峪公交总站,22.56021198,114.1844251
潭头村公交总站,22.7503248,113.8458156
新桥上南公交场站,22.71679485,113.8484292
新安六路公交总站,22.56699289,113.8712157
光明总站,22.76764646,113.9440506
笋岗百安居,22.5728796,114.106203
宝安客运中心,22.59293543,113.878407
西乡公交总站,22.57950196,113.8577498
布吉慢城,22.62141576,114.1203845
东湖客运站,22.57167324,114.1368788
固戍公交接驳站,22.61006726,113.8383766
赤湾凯丰码头,22.46812745,113.8785941
万科五园公交总站,22.61474944,114.0616059
银龙汽配城总站,22.59712089,114.1217436
长岭总站,22.55676217,114.1821294
山湖居总站,22.5856323,114.1346416
金洲花园总站,22.58986229,114.128626
研祥北门,22.76107463,113.9219199
光明公共服务平台,22.74803083,113.9398187
深圳北站,22.6137223,114.0242094
南山智园北,22.59934436,114.002059
布吉联检站,22.58753184,114.1107094
民治公交停车场,22.62009332,114.024197
侨城东总站,22.54385776,113.9968637
布吉街道办场站,22.60870599,114.1223981
平湖任屋村总站,22.68716097,114.1137526
强荣东总站,22.63746946,113.8629563
南头火车西站,22.53003048,113.9029802
高新西公交总站,22.54708015,113.931212
石岩综合场站,22.66951249,113.9259754
月亮湾,22.51199013,113.885674
罗田路公交总站,22.55474063,113.8663874
燕川村公交总站,22.81181231,113.8593384
百鸽笼公交接驳站,22.59940282,114.1253416
动物园夜间停车场,22.59744904,113.9602082
南山智园,22.59645343,114.0008442
留仙学苑路口,22.59903637,114.0030664
深圳市宝馨颐养院,22.64226309,113.8325291
中山园场站,22.56241347,113.9197774
下沙车队小梅沙夜间停车场,22.60450974,114.3214442
南联地铁公交接驳站,22.72592436,114.2624151
盐田北公交总站,22.60023329,114.2358603
大梅沙场站,22.59742746,114.2980097
都市名园,22.54119804,114.1058646
大澳湾,22.56407539,114.4625113
山海湾,22.56631072,114.4607667
云海山庄,22.56158686,114.4629929
油草棚,22.5693242,114.4641682
下沙社区,22.57374958,114.4514317
南澳办事处,22.55132264,114.4785643
福荣上下沙路口,22.52355188,114.0239259
金域蓝湾,22.52518637,114.0207937
金海湾花园,22.52110931,114.0283387
